Country,Indicator,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
ABW,RenewableEnergy,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,5.5,5.7,6.9,6.9,6.9,6.7,7.0,6.8,8.6,8.3,9.1
ABW,EnergyUse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,CO2Emissions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,Research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,Trade,,,,,,171.362098138748,175.344129554656,168.781911013858,163.267359946327,164.559014267185,145.072879516204,140.391108618306,133.230771421249,132.794291274023,132.430929795173,145.050280144237,141.042626734626,139.972309491093,139.110149824701,137.556575933708,135.464654677581,154.437786862887,156.645197205944,161.891280319633,162.88205210123,145.833663297637,142.239763387132,143.804295515015,145.213552350892,145.343572735289,124.162374448683
ABW,MedAndHighTechInd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,GDPpercapita,33050.6442784391,34550.9178862028,35369.9962868371,36817.5539766641,38584.9261636103,38366.0717856556,37663.96356464,39115.8131101858,38714.0586907077,38059.9704793716,39934.2438643444,40874.8856293175,40007.7900204558,40050.6165495942,42586.3672843964,41999.7925159901,41974.4062775006,42743.2264651505,42990.8735373668,37505.1218426687,36069.4767343863,36936.1463649744,36256.758349137,38300.5412154143,37433.0840898173,36963.0785495511,37377.5022869711,39797.6614057063,40544.4252964126,39432.1289328699,29935.0702780022
ABW,Urban,50.319,50.304,49.998,49.588,49.177,48.767,48.356,47.946,47.536,47.127,46.717,46.339,45.972,45.606,45.24,44.875,44.511,44.147,43.783,43.421,43.059,42.94,42.957,42.99,43.041,43.108,43.192,43.293,43.411,43.546,43.697
AFE,RenewableEnergy,60.9100030584341,62.1839240619363,63.9830201533289,64.7124603508772,65.2078420555387,64.8033520709095,64.030989814655,63.2954279666217,64.014146462445,65.0979934122674,65.4495238865207,65.8786989918387,65.1521153198181,64.7295972927242,63.7751947542527,63.2439096118089,62.9042205481805,61.6429091855007,62.0293694728243,61.4204207108602,63.0998368387508,63.1246524339127,61.7183967592541,61.0826852828279,61.499576835816,62.1283378931582,62.4576883595774,61.8911318801459,62.2426314030968,63.3870896989865,66.1234486957514
AFE,EnergyUse,770.037195426649,773.326416853114,732.667501426017,742.813558459323,743.131843490678,751.662583053821,750.550480005589,750.587403866298,739.749342991583,740.755188606538,727.10559136229,732.364434007534,720.03694812386,733.782233851242,751.43419498749,742.787113670108,736.885640720585,749.87698328403,773.642496773604,759.739413459629,749.135699357195,743.414188317463,722.250482682349,719.00574261528,734.218297241573,,,,,,
AFE,CO2Emissions,0.982974821664844,0.942211640748009,0.907935931155447,0.909549811376464,0.91341322587499,0.933000619673823,0.943199917017691,0.962202862561076,0.963156699493026,0.902134156401531,0.891352058110034,0.958882806123569,0.96155340691747,0.98808295147808,1.03247558584141,1.00806527896429,0.996423294294411,1.01324862674819,1.0536629577756,0.990734179791909,1.01748842169894,0.976840416537629,0.989584670174698,1.00115403954986,1.01375799854783,0.960429835565109,0.941337318704173,0.933873860430409,0.921453437400276,0.915293997560283,0.795419908400246
AFE,Research,,,,,,,,,,,,,,0.59464452463139,0.626202115763044,0.627616223039311,,0.661791789518898,,,0.586981535422348,,,,,,,,,,
AFE,Trade,41.8077937999831,40.3228147005097,41.0143740584008,43.4175266013849,45.8855510750662,47.9226970467714,47.6541219531398,45.5330006331672,47.2130664261989,45.4284577351204,47.120276793158,48.4970275196297,60.0122018062394,57.3742675648179,58.3001341308614,60.6753417700486,61.0959150365043,67.0676273481738,74.6075796239013,64.0130339540468,63.7780388003942,64.8077072142983,62.5126934184625,62.5680153535586,60.9774893968479,55.5580151259054,52.885422718575,52.5477294534489,55.5722203064421,52.624517822328,50.4080516782712
AFE,MedAndHighTechInd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFE,GDPpercapita,3415.74825471512,3322.2000970753,3163.32308707997,3055.99721634645,3026.94470965302,3082.01625994631,3168.04243328736,3213.19807964162,3194.23870909168,3199.60865870492,3220.25914647681,3253.780150443,3295.02525355099,3311.32590864374,3412.04747946244,3535.56327691657,3675.2219341346,3822.57951769503,3892.15278560055,3824.01348164908,3921.77802877877,3983.11061802536,3990.08030044935,4048.08918522265,4108.19005374871,4129.05511950062,4125.36139173362,4135.76793691998,4142.95031269856,4130.05722163369,3919.4992295104
AFE,Urban,25.2027985279673,25.6451460467216,26.07387389696,26.5098231519078,26.948708857195,27.3352881909909,27.6248973342379,27.911072223741,28.2033753054683,28.489867849738,28.7727799350881,29.0715908083576,29.3861902826353,29.6984193472006,30.0141481021328,30.349868510116,30.6760655097936,30.9347663936363,31.3432413028329,31.7575261988182,32.1812909874008,32.6176919701458,33.0404735995372,33.4762116803168,33.9369626271775,34.4255836913133,34.8947525660119,35.3589006750633,35.8475977789474,36.3362593667609,36.82830236936
AFG,RenewableEnergy,23.0,23.7,27.4,28.5,30.1,31.8,33.9,36.4,38.0,43.4,45.0,45.6,37.8,36.7,44.2,33.9,31.9,28.8,21.2,16.5,15.2,12.6,15.4,16.9,19.1,17.7,20.2,19.5,18.3,18.9,18.2
AFG,EnergyUse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
